"","Id_Curso","Descripcion","n_curso","Hora","Ronda","weight","Id_Receptor","Id_Emisor"
"166",11,"Tercero basico",15,2017-08-29 17:29:31,7,1,330,333
"167",11,"Tercero basico",15,2017-08-29 17:29:31,19,0,330,336
"168",11,"Tercero basico",15,2017-08-29 17:29:31,4,4,330,337
"169",11,"Tercero basico",15,2017-08-29 17:29:31,17,2,333,312
"170",11,"Tercero basico",15,2017-08-29 17:29:31,2,1,333,313
"171",11,"Tercero basico",15,2017-08-29 17:29:31,11,5,333,314
"172",11,"Tercero basico",15,2017-08-29 17:29:31,13,5,333,315
"173",11,"Tercero basico",15,2017-08-29 17:29:31,3,10,333,316
"174",11,"Tercero basico",15,2017-08-29 17:29:31,9,5,333,317
"175",11,"Tercero basico",15,2017-08-29 17:29:31,1,2,333,318
"176",11,"Tercero basico",15,2017-08-29 17:29:31,19,10,333,319
"177",11,"Tercero basico",15,2017-08-29 17:29:31,12,10,333,325
"178",11,"Tercero basico",15,2017-08-29 17:29:31,4,1,333,326
"179",11,"Tercero basico",15,2017-08-29 17:29:31,8,1,333,329
"180",11,"Tercero basico",15,2017-08-29 17:29:31,7,0,333,330
"181",11,"Tercero basico",15,2017-08-29 17:29:31,10,1,333,336
"182",11,"Tercero basico",15,2017-08-29 17:29:31,14,4,333,337
"183",11,"Tercero basico",15,2017-08-29 17:29:31,3,2,336,312
"184",11,"Tercero basico",15,2017-08-29 17:29:31,14,7,336,313
"185",11,"Tercero basico",15,2017-08-29 17:29:31,4,6,336,314
"186",11,"Tercero basico",15,2017-08-29 17:29:31,6,5,336,315
"187",11,"Tercero basico",15,2017-08-29 17:29:31,15,10,336,316
"188",11,"Tercero basico",15,2017-08-29 17:29:31,2,7,336,317
"189",11,"Tercero basico",15,2017-08-29 17:29:31,13,5,336,318
"190",11,"Tercero basico",15,2017-08-29 17:29:31,12,10,336,319
"191",11,"Tercero basico",15,2017-08-29 17:29:31,5,10,336,325
"192",11,"Tercero basico",15,2017-08-29 17:29:31,16,0,336,326
"193",11,"Tercero basico",15,2017-08-29 17:29:31,1,3,336,329
"194",11,"Tercero basico",15,2017-08-29 17:29:31,19,10,336,330
"195",11,"Tercero basico",15,2017-08-29 17:29:31,10,2,336,333
"196",11,"Tercero basico",15,2017-08-29 17:29:31,7,4,336,337
"197",11,"Tercero basico",15,2017-08-29 17:29:31,11,2,337,312
"198",11,"Tercero basico",15,2017-08-29 17:29:31,18,1,337,313
"199",11,"Tercero basico",15,2017-08-29 17:29:31,8,3,337,314
"200",11,"Tercero basico",15,2017-08-29 17:29:31,10,5,337,315
"201",11,"Tercero basico",15,2017-08-29 17:29:31,19,10,337,316
"202",11,"Tercero basico",15,2017-08-29 17:29:31,6,3,337,317
"203",11,"Tercero basico",15,2017-08-29 17:29:31,17,1,337,318
"204",11,"Tercero basico",15,2017-08-29 17:29:31,16,10,337,319
"205",11,"Tercero basico",15,2017-08-29 17:29:31,9,10,337,325
"206",11,"Tercero basico",15,2017-08-29 17:29:31,1,10,337,326
"207",11,"Tercero basico",15,2017-08-29 17:29:31,5,3,337,329
"208",11,"Tercero basico",15,2017-08-29 17:29:31,4,1,337,330
"209",11,"Tercero basico",15,2017-08-29 17:29:31,14,10,337,333
"210",11,"Tercero basico",15,2017-08-29 17:29:31,7,2,337,336
"211",15,"Cuarto Basico",12,2017-09-08 10:54:57,4,0,430,432
"212",15,"Cuarto Basico",12,2017-09-08 10:53:07,1,1,430,433
"213",15,"Cuarto Basico",12,2017-09-08 10:56:16,7,10,430,434
"214",15,"Cuarto Basico",12,2017-09-08 10:59:45,15,2,430,435
"215",15,"Cuarto Basico",12,2017-09-08 10:58:18,12,4,430,436
"216",15,"Cuarto Basico",12,2017-09-08 10:53:43,2,2,430,437
"217",15,"Cuarto Basico",12,2017-09-08 10:55:22,5,10,430,438
"218",15,"Cuarto Basico",12,2017-09-08 11:00:45,17,3,430,444
"219",15,"Cuarto Basico",12,2017-09-08 10:57:32,10,9,430,445
"220",15,"Cuarto Basico",12,2017-09-08 10:57:03,9,6,430,448
"221",15,"Cuarto Basico",12,2017-09-08 10:56:00,6,7,430,450
"222",15,"Cuarto Basico",12,2017-09-08 10:54:56,4,3,432,430
"223",15,"Cuarto Basico",12,2017-09-08 10:57:42,11,2,432,433
"224",15,"Cuarto Basico",12,2017-09-08 10:59:21,14,1,432,434
"225",15,"Cuarto Basico",12,2017-09-08 10:53:09,1,0,432,435
"226",15,"Cuarto Basico",12,2017-09-08 10:56:36,8,0,432,436
"227",15,"Cuarto Basico",12,2017-09-08 10:54:25,3,2,432,437
"228",15,"Cuarto Basico",12,2017-09-08 10:58:52,13,0,432,438
"229",15,"Cuarto Basico",12,2017-09-08 10:53:30,2,0,432,444
"230",15,"Cuarto Basico",12,2017-09-08 10:56:09,7,0,432,445
"231",15,"Cuarto Basico",12,2017-09-08 10:59:40,15,1,432,448
"232",15,"Cuarto Basico",12,2017-09-08 10:55:34,5,10,432,450
"233",15,"Cuarto Basico",12,2017-09-08 10:53:02,1,4,433,430
"234",15,"Cuarto Basico",12,2017-09-08 10:57:46,11,0,433,432
"235",15,"Cuarto Basico",12,2017-09-08 10:54:54,4,10,433,434
"236",15,"Cuarto Basico",12,2017-09-08 10:56:36,8,0,433,435
"237",15,"Cuarto Basico",12,2017-09-08 10:59:51,15,7,433,436
"238",15,"Cuarto Basico",12,2017-09-08 10:57:27,10,1,433,437
"239",15,"Cuarto Basico",12,2017-09-08 10:54:21,3,10,433,438
"240",15,"Cuarto Basico",12,2017-09-08 10:57:08,9,5,433,444
"241",15,"Cuarto Basico",12,2017-09-08 10:59:19,14,0,433,445
"242",15,"Cuarto Basico",12,2017-09-08 10:55:14,5,3,433,448
"243",15,"Cuarto Basico",12,2017-09-08 10:58:09,12,10,433,450
"244",15,"Cuarto Basico",12,2017-09-08 10:56:11,7,6,434,430
"245",15,"Cuarto Basico",12,2017-09-08 10:59:25,14,1,434,432
"246",15,"Cuarto Basico",12,2017-09-08 10:54:51,4,2,434,433
"247",15,"Cuarto Basico",12,2017-09-08 10:57:47,11,10,434,435
"248",15,"Cuarto Basico",12,2017-09-08 10:53:09,1,2,434,436
"249",15,"Cuarto Basico",12,2017-09-08 10:58:50,13,10,434,437
"250",15,"Cuarto Basico",12,2017-09-08 10:55:49,6,10,434,438
"251",15,"Cuarto Basico",12,2017-09-08 10:58:14,12,4,434,444
"252",15,"Cuarto Basico",12,2017-09-08 11:00:46,17,3,434,445
"253",15,"Cuarto Basico",12,2017-09-08 10:56:41,8,2,434,448
"254",15,"Cuarto Basico",12,2017-09-08 10:59:53,15,10,434,450
"255",15,"Cuarto Basico",12,2017-09-08 10:59:45,15,4,435,430
"256",15,"Cuarto Basico",12,2017-09-08 10:53:15,1,2,435,432
"257",15,"Cuarto Basico",12,2017-09-08 10:56:41,8,0,435,433
"258",15,"Cuarto Basico",12,2017-09-08 10:57:48,11,7,435,434
"259",15,"Cuarto Basico",12,2017-09-08 10:55:15,5,0,435,436
"260",15,"Cuarto Basico",12,2017-09-08 11:00:50,17,0,435,437
"261",15,"Cuarto Basico",12,2017-09-08 10:57:26,10,3,435,438
"262",15,"Cuarto Basico",12,2017-09-08 11:00:13,16,10,435,444
"263",15,"Cuarto Basico",12,2017-09-08 10:54:48,4,0,435,445
"264",15,"Cuarto Basico",12,2017-09-08 10:58:10,12,1,435,448
"265",15,"Cuarto Basico",12,2017-09-08 10:53:39,2,10,435,450
"266",15,"Cuarto Basico",12,2017-09-08 10:58:08,12,5,436,430
"267",15,"Cuarto Basico",12,2017-09-08 10:56:35,8,0,436,432
